表格标识,运行编号,表包编号,内容哈希,模型版本,行数,列数,资源标识
investment,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:78bc8064ddc2707930a47ddbf8a539d9d5a573bca27272e78ba896ae802d0562,finance_model.v2.4,25,11,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/investment
interest-during-construction,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:e5a1eed7283232a717b84b72b2c32da3ec03431eded413c1c0571c030bb14114,finance_model.v2.4,7,5,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/interest-during-construction
working-capital,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:57b0e1e9663363c8ef3ebd8ac58a07750905095f8a21a4ef19abbc24432b8a4e,finance_model.v2.4,1,2,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/working-capital
funding,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:28654bb94ab62cbd0f63f98fd4302aebc08a12fd5ec0b262615e1b1de907878b,finance_model.v2.4,8,5,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/funding
income-statement,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:1771dbb873a2252dc3788a915ad12ac52d3b7cf8c1d8cb3c49152262a078e7dc,finance_model.v2.4,15,24,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/income-statement
total-cost,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:dbaac2ed9cc39c5344e7973e608b539c37d3b8ea2fef2f18d0a698e8c8eecece,finance_model.v2.4,10,23,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/total-cost
wage,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:450ab2421398b99468c247b0eaf91fba3fc7d41baa90e21d07b00b95cbb5d92d,finance_model.v2.4,4,26,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/wage
depreciation,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:4bd589474f42da1103f2b5dacb039ec41001355ee2e6036e2b5a29ecc36f1b84,finance_model.v2.4,1,24,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/depreciation
amortization,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:4b5e36a20055fb72561fe16cacc9fb23d5cb66d19822911f149c32d4ca170af9,finance_model.v2.4,1,24,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/amortization
profit-distribution,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:b6da393502a1da2fd752ae73c459652fdb57cae4eec489c0ef5000291dd560cb,finance_model.v2.4,17,23,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/profit-distribution
debt-service,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:8382ec8806ad6755a8e91ece768b61c9bba165b3006a167434018c34f72dd31f,finance_model.v2.4,17,23,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/debt-service
cashflow,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:f28cecef9e78906f5343973d71a00bb1067440f07bd9f1ab4a5ba11fc0098dcb,finance_model.v2.4,13,25,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/cashflow
capital-cashflow,run_853b80482be1,ftp_975f3dae7f86684656d70451,sha256:8c5860c2a9409273b9aa46a19857366ada23964b8eded9dfde7d957f39d7ce67,finance_model.v2.4,13,25,lvke://finance-tables/workspaces/acc20260806/packages/ftp_975f3dae7f86684656d70451/csv/capital-cashflow
