序号,项目,合计,计算期0,计算期1,计算期2,计算期3,计算期4,计算期5,计算期6,计算期7,计算期8,计算期9,计算期10,计算期11,计算期12,计算期13,计算期14,计算期15,计算期16,计算期17,计算期18,计算期19,计算期20,计算期21
1,现金流入,201418.5,0.0,0.0,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,17850.0
1.1,营业收入,193738.5,0.0,0.0,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0
1.2,回收固定资产余值,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7680.0
1.3,回收流动资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,现金流出,138900.25,8800.0,8800.0,4398.81,5486.73,6289.17,7091.62,7037.62,6983.62,6929.62,6875.62,6821.62,6767.62,6713.62,6659.62,5405.62,5405.62,5405.62,5405.62,5405.62,5405.62,5405.62,5405.62
2.1,项目资本金,17600.0,8800.0,8800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,借款本金偿还,14400.0,0.0,0.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,借款利息支付,4212.0,0.0,0.0,648.0,594.0,540.0,486.0,432.0,378.0,324.0,270.0,216.0,162.0,108.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,经营成本,80010.0,0.0,0.0,2100.0,2940.0,3570.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
2.5,税金及附加,434.73,0.0,0.0,11.41,15.98,19.4,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82
2.6,所得税,22243.52,0.0,0.0,439.4,736.75,959.77,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8
3,资本金净现金流量,62518.25,-8800.0,-8800.0,686.19,1632.27,2355.33,3078.38,3132.38,3186.38,3240.38,3294.38,3348.38,3402.38,3456.38,3510.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,12444.38
4,累计净现金流量,62518.25,-8800.0,-17600.0,-16913.81,-15281.54,-12926.21,-9847.83,-6715.45,-3529.07,-288.69,3005.69,6354.07,9756.45,13212.83,16723.21,21487.59,26251.97,31016.35,35780.73,40545.11,45309.49,50073.87,62518.25
