序号,项目,合计,计算期0,计算期1,计算期2,计算期3,计算期4,计算期5,计算期6,计算期7,计算期8,计算期9,计算期10,计算期11,计算期12,计算期13,计算期14,计算期15,计算期16,计算期17,计算期18,计算期19,计算期20,计算期21
1,现金流入,,,,,,,,,,,,,,,,,,,,,,,
1.1,营业收入,193738.5,0.0,0.0,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0
1.2,回收固定资产余值,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7680.0
1.3,回收新增流动资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,现金流出,,,,,,,,,,,,,,,,,,,,,,,
2.1,固定资产投资,32000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,新增铺底流动资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,经营成本,80010.0,0.0,0.0,2100.0,2940.0,3570.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
2.4,营业税金及附加,434.73,0.0,0.0,11.41,15.98,19.4,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82
2.5,所得税,22243.52,0.0,0.0,439.4,736.75,959.77,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8
3,所得税前净现金流量,88973.77,-16000.0,-16000.0,2973.59,4163.02,5055.1,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,13627.18
4,所得税后净现金流量,66730.25,-16000.0,-16000.0,2534.19,3426.27,4095.33,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,4764.38,12444.38
5,累计所得税后净现金流量,66730.25,-16000.0,-32000.0,-29465.81,-26039.54,-21944.21,-17179.83,-12415.45,-7651.07,-2886.69,1877.69,6642.07,11406.45,16170.83,20935.21,25699.59,30463.97,35228.35,39992.73,44757.11,49521.49,54285.87,66730.25
