序号,项目,合计,分年1,分年2,分年3,分年4,分年5,分年6,分年7,分年8,分年9,分年10,分年11,分年12,分年13,分年14,分年15,分年16,分年17,分年18,分年19,分年20
1,期初借款余额,0.0,14400.0,13200.0,12000.0,10800.0,9600.0,8400.0,7200.0,6000.0,4800.0,3600.0,2400.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,本年借款,,,,,,,,,,,,,,,,,,,,,
3,当期还本付息,18612.0,1848.0,1794.0,1740.0,1686.0,1632.0,1578.0,1524.0,1470.0,1416.0,1362.0,1308.0,1254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,还本,14400.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,付息,4212.0,648.0,594.0,540.0,486.0,432.0,378.0,324.0,270.0,216.0,162.0,108.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,期末借款余额,0.0,13200.0,12000.0,10800.0,9600.0,8400.0,7200.0,6000.0,4800.0,3600.0,2400.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,偿债资金来源（可用）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,可供投资者分配的利润,,,,,,,,,,,,,,,,,,,,,
5.2,折旧费,,,,,,,,,,,,,,,,,,,,,
5.3,摊销费,,,,,,,,,,,,,,,,,,,,,
6,实际用于偿债的资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,实际使用利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,实际使用折旧,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,实际使用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,偿债后剩余资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,利息备付率（ICR）,87.61,2.71,4.96,7.11,9.73,10.95,12.52,14.6,17.52,21.9,29.2,43.81,87.61,,,,,,,,
9,偿债备付率（DSCR）,0.04,0.35,0.33,0.31,0.29,0.26,0.24,0.21,0.18,0.15,0.12,0.08,0.04,,,,,,,,
