序号,项目,单位,合计,分年1,分年2,分年3,分年4,分年5,分年6,分年7,分年8,分年9,分年10,分年11,分年12,分年13,分年14,分年15,分年16,分年17,分年18,分年19,分年20
1,营业收入,万元,193738.5,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0
1.1,门票收入,万人次,137160.0,3600.0,5040.0,6120.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0
1.1.1,单价,yuan,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1.1.2,数量,万人次,2286.0,60.0,84.0,102.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
1.2,二次消费,万人次,56578.5,1485.0,2079.0,2524.5,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0
1.2.1,单价,yuan,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
1.2.2,数量,万人次,1257.3,33.0,46.2,56.1,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
1.9,营业收入合计,万元,193738.5,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0
2,销项税额,万元,11624.31,305.1,427.14,518.67,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2,610.2
3,营业税金与附加,万元,434.73,11.41,15.98,19.4,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82
3.1,城市维护建设税,万元,,,,,,,,,,,,,,,,,,,,,
3.2,教育费附加,万元,,,,,,,,,,,,,,,,,,,,,
3.3,地方教育附加,万元,,,,,,,,,,,,,,,,,,,,,
4,进项税额,万元,8001.0,210.0,294.0,357.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
5,应纳增值税,万元,3623.31,95.1,133.14,161.67,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2,190.2
