序号,工程或费用名称,计量单位,工程量,估算指标（元）,建筑工程,设备原价,运杂安装工程费,其它费用,合计,比例(%)
1,工程费用,,,,,,,,26227.0,81.96
1.1,游客服务中心,m2,6000,4800,2880.0,,,,2880.0,9.0
1.2,生态景观与绿化工程,m2,165000,320,5280.0,,,,5280.0,16.5
1.3,儿童游乐区场地与设施基础,m2,15000,2600,3900.0,,,,3900.0,12.19
1.4,环湖步道与栈道,m,8500,1800,1530.0,,,,1530.0,4.78
1.5,民宿与康养住宿楼,m2,9000,5200,4680.0,,,,4680.0,14.62
1.6,道路与停车场,m2,45000,420,1890.0,,,,1890.0,5.91
1.7,给排水与电气管网,项,1,11950000,1195.0,,,,1195.0,3.73
1.8,大型游乐设备,套,6,4800000,,2880.0,,,2880.0,9.0
1.9,智慧景区系统,套,1,6200000,,620.0,,,620.0,1.94
1.10,运营设备与家具,批,1,8500000,,850.0,,,850.0,2.66
1.11,设备安装工程,项,1,5220000,,,522.0,,522.0,1.63
2,工程建设其他费用,,,,,,,,3583.8,11.2
2.1,土地使用费,万元,,,,,,2100.0,2100.0,6.56
2.2,勘察设计费,万元,,,,,,655.68,655.68,2.05
2.3,项目管理费,万元,,,,,,393.4,393.4,1.23
2.4,工程监理费,万元,,,,,,314.72,314.72,0.98
2.5,可研与咨询费,万元,,,,,,120.0,120.0,0.38
3,预备费,,,,,,,,1541.2,4.82
3.1,预备费合计,万元,,,,,,1541.2,1541.2,4.82
4,一至三项合计,万元,,,,,,31352.0,31352.0,97.97
5,建设期贷款利息,万元,,,,,,648.0,648.0,2.02
6,固定资产投资合计,万元,,,,,,32000.0,32000.0,100.0
7,流动资金,万元,,,,,,0.0,0.0,0.0
,项目总投资合计,万元,,,,,,,32000.0,100.0
