序号,项目,合计,计算期1,计算期2,计算期3,计算期4,计算期5,计算期6,计算期7,计算期8,计算期9,计算期10,计算期11,计算期12,计算期13,计算期14,计算期15,计算期16,计算期17,计算期18,计算期19,计算期20
1,营业收入,193738.5,5085.0,7119.0,8644.5,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0,10170.0
2,营业税金及附加,434.73,11.41,15.98,19.4,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82
3,总成本费用,108542.0,3964.0,4750.0,5326.0,5902.0,5848.0,5794.0,5740.0,5686.0,5632.0,5578.0,5524.0,5470.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0
4,利润总额,84761.77,1109.59,2353.02,3299.1,4245.18,4299.18,4353.18,4407.18,4461.18,4515.18,4569.18,4623.18,4677.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18
5,弥补以前年度亏损,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,应纳税所得额,84761.77,1109.59,2353.02,3299.1,4245.18,4299.18,4353.18,4407.18,4461.18,4515.18,4569.18,4623.18,4677.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18
7,所得税,21190.52,277.4,588.25,824.77,1061.3,1074.8,1088.3,1101.8,1115.3,1128.8,1142.3,1155.8,1169.3,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8,1182.8
8,净利润,63571.25,832.19,1764.77,2474.33,3183.88,3224.38,3264.88,3305.38,3345.88,3386.38,3426.88,3467.38,3507.88,3548.38,3548.38,3548.38,3548.38,3548.38,3548.38,3548.38,3548.38
9,期初未分配利润,54020.55,0.0,748.97,1588.29,2226.9,2865.49,2901.94,2938.39,2974.84,3011.29,3047.74,3084.19,3120.64,3157.09,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54
10,可供分配的利润,117591.8,832.19,2513.74,4062.62,5410.78,6089.87,6166.82,6243.77,6320.72,6397.67,6474.62,6551.57,6628.52,6705.47,6741.92,6741.92,6741.92,6741.92,6741.92,6741.92,6741.92
11,提取法定盈余公积金,6357.16,83.22,176.48,247.43,318.39,322.44,326.49,330.54,334.59,338.64,342.69,346.74,350.79,354.84,354.84,354.84,354.84,354.84,354.84,354.84,354.84
12,可供投资者分配的利润,57214.09,748.97,1588.29,2226.9,2865.49,2901.94,2938.39,2974.84,3011.29,3047.74,3084.19,3120.64,3157.09,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54
13,提取任意盈余公积金,,,,,,,,,,,,,,,,,,,,,
14,投资各方利润分配,,,,,,,,,,,,,,,,,,,,,
15,未分配利润,57214.09,748.97,1588.29,2226.9,2865.49,2901.94,2938.39,2974.84,3011.29,3047.74,3084.19,3120.64,3157.09,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54,3193.54
16,息税前利润（EBIT）,88973.77,1757.59,2947.02,3839.1,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18,4731.18
17,息税折旧摊销前利润（EBITDA）,113293.77,2973.59,4163.02,5055.1,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18,5947.18
