序号,项目,合计,计算期1,计算期2,计算期3,计算期4,计算期5,计算期6,计算期7,计算期8,计算期9,计算期10,计算期11,计算期12,计算期13,计算期14,计算期15,计算期16,计算期17,计算期18,计算期19,计算期20
1,生产负荷（%）,100.0,50.0,70.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,年经营成本,80010.0,2100.0,2940.0,3570.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
8,经营成本,80010.0,2100.0,2940.0,3570.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
9,折旧费,24320.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0
10,摊销费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,财务费用,4212.0,648.0,594.0,540.0,486.0,432.0,378.0,324.0,270.0,216.0,162.0,108.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.1,长期贷款利息,4212.0,648.0,594.0,540.0,486.0,432.0,378.0,324.0,270.0,216.0,162.0,108.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,总成本费用,108542.0,3964.0,4750.0,5326.0,5902.0,5848.0,5794.0,5740.0,5686.0,5632.0,5578.0,5524.0,5470.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0,5416.0
12.1,固定成本,80010.0,2100.0,2940.0,3570.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
12.2,变动成本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
